iter	Passed	Remaining
0	0	95
1	1	82
2	2	78
3	3	72
4	3	72
5	4	71
6	5	70
7	6	69
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	63
15	11	62
16	12	61
17	13	60
18	14	60
19	14	59
20	15	59
21	16	58
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	37	38
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	88	0
