iter	Passed	Remaining
0	158	158371
1	159	79557
2	160	53224
3	160	40067
4	161	32175
5	162	26896
6	163	23131
7	163	20323
8	164	18116
9	165	16354
10	165	14914
11	166	13706
12	167	12684
13	167	11816
14	168	11058
15	169	10394
16	169	9820
17	171	9342
18	172	8898
19	173	8497
20	174	8124
21	175	7782
22	175	7470
23	176	7183
24	177	6921
25	178	6674
26	179	6450
27	179	6240
28	180	6041
29	181	5853
30	181	5678
31	182	5513
32	182	5360
33	183	5216
34	184	5083
35	186	4981
36	187	4870
37	188	4766
38	188	4656
39	189	4552
40	190	4454
41	191	4361
42	191	4272
43	192	4184
44	193	4100
45	193	4019
46	194	3942
47	195	3868
48	195	3797
49	196	3729
50	196	3665
51	197	3602
52	198	3542
53	199	3489
54	200	3444
55	201	3392
56	202	3350
57	203	3303
58	204	3254
59	204	3208
60	205	3163
61	206	3119
62	206	3077
63	207	3037
64	208	2997
65	209	2958
66	209	2921
67	210	2884
68	211	2848
69	211	2813
70	212	2779
71	213	2746
72	214	2717
73	215	2694
74	216	2664
75	217	2647
76	218	2620
77	219	2592
78	219	2564
79	220	2537
80	221	2512
81	222	2486
82	222	2458
83	223	2434
84	223	2409
85	224	2386
86	225	2362
87	225	2339
88	226	2318
89	227	2296
90	227	2274
91	228	2256
92	230	2243
93	230	2225
94	232	2213
95	233	2196
96	233	2177
97	234	2158
98	235	2142
99	236	2124
100	236	2107
101	237	2090
102	238	2073
103	238	2056
104	239	2040
105	239	2024
106	240	2008
107	241	1993
108	242	1978
109	242	1964
110	243	1951
111	245	1944
112	246	1935
113	247	1923
114	248	1911
115	249	1898
116	249	1884
117	250	1872
118	251	1859
119	251	1847
120	252	1834
121	253	1821
122	253	1809
123	254	1797
124	255	1786
125	255	1775
126	256	1762
127	257	1751
128	257	1741
129	258	1730
130	260	1724
131	261	1718
132	262	1709
133	262	1699
134	263	1689
135	264	1680
136	265	1671
137	265	1661
138	266	1651
139	267	1642
140	267	1632
141	268	1621
142	269	1612
143	269	1604
144	270	1595
145	271	1586
146	271	1577
147	272	1569
148	273	1564
149	274	1557
150	276	1552
151	276	1544
152	277	1536
153	278	1528
154	278	1520
155	279	1512
156	280	1505
157	281	1498
158	281	1490
159	282	1483
160	282	1474
161	283	1467
162	284	1460
163	284	1452
164	285	1445
165	286	1438
166	286	1431
167	287	1424
168	289	1421
169	290	1417
170	291	1411
171	291	1404
172	292	1398
173	293	1392
174	293	1385
175	294	1379
176	295	1373
177	296	1367
178	296	1360
179	297	1354
180	298	1348
181	298	1342
182	299	1337
183	300	1331
184	300	1325
185	301	1319
186	302	1315
187	303	1312
188	304	1308
189	306	1304
190	306	1299
191	307	1293
192	308	1288
193	309	1283
194	309	1278
195	310	1273
196	311	1267
197	311	1262
198	312	1257
199	313	1252
200	313	1247
201	314	1242
202	315	1237
